제목,감성
"최근 미국의 GM에 이어 Ford가 PHEV 차량에 대한 프로젝트 파트너를 선정하였는데, 유럽의 글로벌 완성차 업체들도 이제 PHEV 프로젝트 파트너를 선정해야만 하는 시기가 가까워졌다.",NEUTRAL
"KCC가 자사주와 현대중공업, 현대상선 보유 주식을 기반으로 발행한 교환사채에 대해 2010년 10월 30일 하루에 한해 교환사채를 보유한 투자자는 풋옵션을 행사할 수 있다.",NEUTRAL
삼성생명 상장으로 에버랜드가 보유한 삼성생명 주식의 공정가를 산정할 수 있게 됨에 따라 재평가를 실시한 것으로 판단된다.,NEUTRAL
순이익 역시 두 자리 수 신장률을 달성했는데 계열 백화점 중 현대 DSF 와 현대홈쇼핑 등 주요 자회사들의 영업 호전이 지분법이익 등가를 주도했기 때문으로 분석된다.,POSITIVE
"(주)셀트리온은 셀트리온헬스케어와 2009년 10월 약 1,936억원의 대규모 바이오시밀러 공급계약을 맺은 바 있으며 2009년 4분기부터 매출에 반영되고 있음.",NEUTRAL
경남∙광주은행의 분리매각이 유력한 방안 중 하나로 부상함에 따라 부산은행의 경남은행 인수 가능성이 제기되고 있다.,NEUTRAL
"부산은행이 경남은행을 인수하더라도 자산총액은 55조원 수준으로 여전히 시중은행 대비 영세한 규모인 반면, 인수자금 상환을 위해 배당여력은 축소될 것으로 보인다.",NEUTRAL
"2008년 12월 1차 하이증권의 1차 유상증자, 2008년 7월 1일과 2009년 7월 1일 HMC 투자증권의 1,2차 증자시기에 최대주주인 현대미포조선과 현대차의 큰 영향이 없었음",NEUTRAL
"특히 HMC투자증권의 경우, 2008년상반기에 현대차그룹이 인수한 후, 2008년 하반기와 2009년 하반기 두 차례에 걸쳐 총 3,551억원을 자본을 확충한 바 있다.",NEUTRAL
사업회사 한미약품은 베이징한미약품과 한미정밀 화학을 자회사로 편입해 국내외 의약품 사업을 기존과 동일하게 지속한다.,NEUTRAL
"하지만, 본사 광고 선전비 증가, 일본 지진여파에 따른 일본 자회사 실적 부진, 그리고 면세점 사업의 영업적자폭 확대로 인해 영업적자를 기록한 것으로 보인다.",NEGATIVE
"하지만 최근 저가 커피∙주스 시장이 확대되고 경쟁이 심화됨에 따라 SPC그룹과 이디야, 할리스 등 동사의 주요 고객사에 납품하는 물량이 지속적으로 감소 추세에 있다.",NEUTRAL
"한국 본사는 신규 납품모델의 출하가 예상보다 저조한 편이나 투산 등 기존 물량이 꾸준하고, 중국 법인은 전년 3분기의 낮은 기저와 신차 효과가 하반기에도 이어질 것으로 보인다.",NEUTRAL
멕시코 공장의 적자 축소와 서산 공장의 흑자 전환을 기반으로 실적이 3분기를 저점으로 개선될 것이기 때문에 실적발표 전후로 매수시점을 조율해야 한다는 판단이다.,POSITIVE
"베링거인겔하임과의 기술계약 해지이후 34%나 하락한 한미약품의 주가와 실적의 전년대비 부진은, 4Q16 이후 기수출한 파이프라인 임상개시와 마일스톤 유입으로 해결될 것으로 기대한다.",NEUTRAL
"의류 OEM기업들의 영업이익률이 감소하는 이유는 환율이나 원재료 가격 상승 외에도 수주 단가가 하락하고, 주문량이 감소하면 고정비 부담이 커지기 때문에 바이어들의 연간 재고 소진 여부를 체크하는 것이 필요하다.",NEGATIVE
"3Q16 매출이 전분기 대비 6.7% 감소한 것은 신작 출시는 없는 가운데 스포츠게임 비수기 영향으로 컴투스프로야구 등 스포츠 장르 매출이 감소했고, 주력게임인 서머너즈워 매출도 감소했기 때문이다.",NEGATIVE
